City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,gadzhiyevo,69.2551,33.3362,6.08,80,98,7.72,RU,1696187602
83,egilsstadir,65.2653,-14.3948,5.95,100,75,5.66,IS,1696187602
84,kitimat,54.0524,-128.6534,10.21,62,100,0.45,CA,1696187602
85,codrington,-38.2667,141.9667,4.79,92,1,3.69,AU,1696187441
86,moshi,-3.35,37.3333,22.01,71,6,2.48,TZ,1696187602
87,al bawiti,28.3492,28.8659,26.4,32,93,3.61,EG,1696187602
88,mushie,-3.0167,16.9,24.91,83,56,1.05,CD,1696187602
89,la libertad,-2.2333,-80.9,28.81,61,75,5.14,EC,1696187602
90,carangola,-20.7331,-42.0294,29.13,52,79,2.47,BR,1696187602
91,albertina,-22.2008,-46.6158,20.67,89,100,1.48,BR,1696187602
92,kepsut,39.6889,28.1522,19.08,89,100,2.36,TR,1696187603
93,pervomays'kyy,49.3874,36.2147,18.61,32,58,2.76,UA,1696187603
94,margate,51.3813,1.3862,18.72,79,100,1.34,GB,1696187603
95,gbadolite,4.2833,21.0167,24.65,86,19,0.86,CD,1696187603
96,les avirons,-21.2418,55.3394,21.03,78,0,3.09,RE,1696187603
97,fort bragg,35.139,-79.006,27.12,57,40,4.12,US,1696187603
98,west island,-12.1568,96.8225,24.99,78,75,8.23,CC,1696187603
99,vila velha,-20.3297,-40.2925,22.97,86,40,3.6,BR,1696187325
100,bamboo flat,11.7,92.7167,26.05,89,75,1.03,IN,1696187603
101,constantia,44.1833,28.65,18.38,54,95,5.85,RO,1696187603
102,acapulco de juarez,16.8634,-99.8901,31.9,70,75,2.57,MX,1696187389
103,kapa'a,22.0752,-159.319,27.99,76,40,5.66,US,1696187603
104,andergrove,-21.0833,149.1833,19.25,82,48,4.23,AU,1696187603
105,lihue,21.9789,-159.3672,27.58,77,40,5.66,US,1696187604
106,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,100,100,2.0,RU,1696187442
107,la passe,45.5549,-0.8967,26.13,54,11,2.3,FR,1696187412
108,klyuchi,52.2667,79.1667,6.56,87,0,2.11,RU,1696187604
109,flying fish cove,-10.4217,105.6791,23.82,88,75,5.14,CX,1696187604
110,pico truncado,-46.7949,-67.9573,14.46,21,100,5.96,AR,1696187457
111,ilulissat,69.2167,-51.1,0.01,59,20,1.54,GL,1696187604
112,taoudenni,22.6783,-3.9836,35.97,10,82,2.42,ML,1696187604
113,kuanda,56.3161,116.0806,5.86,70,100,1.9,RU,1696187604
114,bilibino,68.0546,166.4372,-4.47,89,100,0.14,RU,1696187604
115,shingu,33.7333,135.9833,17.14,83,0,3.1,JP,1696187604
116,vaasa,63.096,21.6158,12.25,65,75,3.09,FI,1696187604
117,male,4.1748,73.5089,25.97,100,100,4.63,MV,1696187478
118,kingston,17.997,-76.7936,33.53,67,20,4.63,JM,1696187604
119,yinchuan,38.4681,106.2731,15.76,67,100,1.35,CN,1696187604
120,cinisi,38.1562,13.1073,23.25,76,20,4.63,IT,1696187604
121,karwar,14.8,74.1333,24.13,87,82,3.1,IN,1696187605
122,college,64.8569,-147.8028,7.11,69,75,3.09,US,1696187431
123,boden,65.8252,21.6886,10.0,81,100,4.46,SE,1696187605
124,lebu,-37.6167,-73.65,12.64,67,100,4.22,CL,1696187605
125,sisimiut,66.9395,-53.6735,2.22,67,73,0.74,GL,1696187605
126,kristiansund,63.1115,7.732,11.03,87,0,4.12,NO,1696187605
127,wailua homesteads,22.0669,-159.378,27.24,77,40,5.66,US,1696187414
128,belmonte,-15.8631,-38.8828,25.13,68,8,3.77,BR,1696187605
129,tosno,59.54,30.8775,12.14,83,66,3.74,RU,1696187605
130,dakhla,23.6848,-15.958,24.01,78,0,9.26,EH,1696187605
131,praia da vitoria,38.7333,-27.0667,21.53,73,20,3.26,PT,1696187605
132,ewo,-0.8725,14.8206,24.71,86,68,0.94,CG,1696187605
133,vorgashor,67.5833,63.95,8.35,98,100,6.44,RU,1696187605
134,volchikha,52.0333,80.3833,6.1,92,0,2.24,RU,1696187605
135,utrik,11.2278,169.8474,27.79,77,100,5.09,MH,1696187606
136,aykhal,66.0,111.5,0.04,98,100,7.15,RU,1696187606
137,punta arenas,-53.15,-70.9167,6.06,49,40,13.38,CL,1696187606
138,hadibu,12.65,54.0333,26.49,85,24,2.87,YE,1696187606
139,minot,48.2325,-101.2963,19.12,88,100,4.12,US,1696187484
140,bayanhongor,46.7167,100.1167,0.52,91,70,1.51,MN,1696187606
141,anadyr,64.75,177.4833,-4.72,86,0,2.0,RU,1696187606
142,cerritos,33.8583,-118.0648,21.44,67,75,5.14,US,1696187606
143,center,31.5107,-96.4247,32.67,37,100,1.34,US,1696187606
144,beterou,9.1992,2.2586,24.75,91,100,1.77,BJ,1696187606
145,vershino-darasunskiy,52.35,115.5167,3.74,70,51,1.34,RU,1696187606
146,kingscliff,-28.2667,153.5667,17.89,77,0,4.12,AU,1696187606
147,arnprior,45.4334,-76.3494,26.19,47,34,2.18,CA,1696187482
148,tiksi,71.6872,128.8694,-8.29,91,60,2.48,RU,1696187606
149,thabazimbi,-24.5917,27.4116,20.67,29,1,4.21,ZA,1696187606
150,uturoa,-16.7333,-151.4333,26.01,78,66,8.41,PF,1696187413
151,poshekhon'ye,58.4993,39.1353,10.68,86,5,5.23,RU,1696187607
152,xilin hot,43.9667,116.0333,8.0,40,6,2.84,CN,1696187607
153,sitka,57.0531,-135.33,12.94,76,100,2.57,US,1696187607
154,namibe,-15.1961,12.1522,18.93,82,0,1.1,AO,1696187607
155,marion,39.7684,-86.1555,30.18,48,40,3.09,US,1696187607
156,hawaiian paradise park,19.5933,-154.9731,27.16,87,75,2.57,US,1696187415
157,bel ombre,-4.6167,55.4167,26.91,89,40,4.12,SC,1696187607
158,aasiaat,68.7098,-52.8699,-3.39,74,1,4.61,GL,1696187607
159,galliano,29.4422,-90.2992,31.11,55,0,5.66,US,1696187607
160,reyes,-14.3167,-67.3833,36.65,35,100,0.49,BO,1696187607
161,bairnsdale,-37.8333,147.6167,5.59,92,4,1.94,AU,1696187607
162,leava,-14.3,-178.1667,25.97,77,94,11.82,WF,1696187607
163,luderitz,-26.6481,15.1594,17.01,72,0,4.49,NA,1696187607
164,camana,-16.6228,-72.7111,20.49,75,43,3.64,PE,1696187607
165,fale old settlement,-9.3852,-171.2468,27.99,74,14,2.36,TK,1696187608
166,udachny,66.4167,112.4,-1.97,92,100,7.49,RU,1696187419
167,papao,-17.75,-149.55,26.82,84,11,9.47,PF,1696187608
168,chibougamau,49.9168,-74.3659,18.96,43,7,2.81,CA,1696187608
